Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-06-01 07:39:48,false,"Tuzla Running","5.41","475","00:34:39","161","175","3.3","147","150","6:24","5:31","37","67","1.06","8.8","9.3","322","6:27","352","0.0","348","444","5,078","-11","--","No","00:02:37.6","6","--","00:34:37","00:34:39","128","172"
Running,2025-05-31 07:24:44,false,"Tuzla Running","7.06","615","00:45:15","159","169","3.6","147","152","6:24","6:03","45","75","1.06","8.8","9.3","321","6:26","352","0.0","349","467","6,644","-10","--","No","00:00:24.5","8","--","00:45:13","00:45:15","129","171"
Treadmill Running,2025-05-30 08:40:19,false,"Treadmill Running","5.00","466","00:33:22","166","179","3.7","144","150","6:40","6:06","--","--","1.07","8.8","9.4","327","--","333","0.0","314","358","4,776","-10","--","No","00:05:16.5","5","--","00:31:13","00:33:22","--","--"
Treadmill Running,2025-05-29 16:37:31,false,"Treadmill Running","6.00","562","00:40:02","167","183","4.0","143","148","6:40","6:03","--","--","1.08","8.7","9.4","328","--","339","0.0","333","371","5,722","-9","--","No","00:01:08.0","7","--","00:39:22","00:40:02","--","--"
Running,2025-05-28 16:33:30,false,"Gölcük Running","6.09","555","00:40:05","170","184","3.9","145","148","6:35","5:44","26","38","1.04","8.9","9.2","326","6:37","340","0.0","338","448","5,808","-11","--","No","00:00:35.1","7","--","00:40:04","00:40:05","-1","25"
Running,2025-05-27 15:47:22,false,"Gölcük Running","5.01","452","00:32:37","167","181","3.7","144","150","6:30","4:39","22","37","1.06","8.8","9.3","328","6:32","349","0.0","345","562","4,688","-10","--","No","00:00:05.1","6","--","00:32:34","00:32:42","4","25"
Running,2025-05-22 07:36:01,false,"Tuzla Running","6.21","560","00:40:17","169","183","4.3","146","150","6:29","5:57","34","62","1.06","8.8","9.3","325","6:32","345","0.0","343","467","5,858","-16","--","No","00:01:24.1","7","--","00:40:15","00:40:17","130","171"
Running,2025-05-20 07:54:23,false,"Tuzla Running","5.01","450","00:32:12","167","180","3.7","146","152","6:25","6:05","28","55","1.07","8.8","9.4","325","6:29","347","0.0","345","449","4,678","-12","--","No","00:00:06.3","6","--","00:32:09","00:32:12","131","171"
Running,2025-05-19 09:57:12,false,"Tuzla Running","7.01","635","00:45:35","169","183","4.5","145","148","6:30","6:07","42","68","1.05","8.8","9.3","326","6:32","346","0.0","344","439","6,588","-19","--","No","00:00:03.1","8","--","00:45:34","00:45:35","131","171"
Running,2025-05-12 18:34:33,false,"Tuzla Running","5.37","475","00:34:08","164","179","3.4","145","148","6:22","5:37","39","68","1.08","8.7","9.4","325","6:23","354","0.0","350","468","4,938","-7","--","No","00:02:19.9","6","--","00:34:06","00:34:08","130","173"
Running,2025-05-05 15:14:32,false,"Tuzla Running","7.03","637","00:45:33","166","178","3.6","145","152","6:29","5:58","40","65","1.06","8.8","9.3","325","6:30","346","0.0","344","455","6,604","-8","--","No","00:00:10.3","8","--","00:45:31","00:45:52","130","169"
Treadmill Running,2025-05-02 18:49:28,false,"Threshold","8.00","718","00:50:22","166","178","4.0","143","170","6:18","5:15","--","--","1.12","8.5","9.5","331","--","348","0.0","344","447","7,182","-11","--","No","00:00:22.2","12","--","00:49:41","00:50:22","--","--"
Treadmill Running,2025-04-24 17:03:14,false,"Easy Run","9.00","736","01:00:03","153","164","3.1","142","160","6:40","6:02","--","--","1.10","8.6","9.5","334","--","341","0.0","336","364","8,484","-15","--","No","00:00:03.1","11","--","00:59:30","01:00:03","--","--"
Running,2025-04-23 08:44:13,false,"Tuzla Running","6.68","583","00:41:57","164","178","3.5","148","169","6:17","4:05","43","70","1.07","8.7","9.3","318","6:18","372","0.0","359","577","6,168","-14","--","No","00:00:59.7","13","--","00:41:52","00:41:58","128","169"
Running,2025-04-21 17:13:18,false,"Tuzla - Easy Run","7.01","618","00:45:45","158","171","3.4","146","150","6:31","4:34","48","75","1.05","8.9","9.3","325","6:33","344","0.0","342","523","6,670","-11","--","No","00:00:44.6","8","--","00:45:42","00:45:45","129","169"
Running,2025-04-20 16:50:18,false,"Gölcük - Long Run","12.24","1,093","01:20:15","162","173","4.0","145","150","6:33","5:42","68","69","1.05","8.8","9.3","328","6:32","348","0.0","344","469","11,600","-18","--","No","00:00:14.7","14","--","01:20:12","01:20:15","1","25"
Treadmill Running,2025-04-18 16:42:56,false,"Treadmill Running","6.50","541","00:40:15","158","172","3.4","143","185","6:12","3:55","--","--","1.09","8.7","9.5","328","--","343","0.0","333","602","5,748","-10","--","No","00:01:05.7","7","--","00:39:07","00:40:15","--","--"
Running,2025-04-17 11:00:46,false,"Tuzla - Easy Run","8.00","726","00:52:08","167","179","3.7","145","148","6:31","5:32","53","76","1.06","8.8","9.3","326","6:32","348","0.0","345","462","7,534","-11","--","No","00:00:01.4","9","--","00:52:06","00:52:27","128","167"
Running,2025-04-16 07:31:50,false,"Tuzla - Interval","4.83","414","00:30:05","163","185","3.3","146","163","6:14","3:59","23","57","1.09","8.7","9.4","320","6:17","368","0.0","354","594","4,380","-12","--","No","00:00:04.6","13","--","00:30:00","00:31:24","127","170"
Running,2025-04-11 07:25:58,false,"Tuzla - Base","6.18","543","00:40:04","158","167","3.3","145","148","6:29","5:29","38","65","1.06","8.8","9.3","326","6:30","347","0.0","343","463","5,782","-14","--","No","00:00:03.8","8","--","00:40:02","00:40:04","129","171"
Running,2025-04-10 10:57:58,false,"Tuzla - Base","6.06","538","00:40:06","161","175","3.3","143","147","6:37","5:24","35","62","1.05","8.8","9.2","335","6:38","339","0.0","335","474","5,710","-11","--","No","00:00:06.1","8","--","00:40:04","00:40:06","130","170"
Treadmill Running,2025-04-09 09:19:43,false,"Threshold","6.75","583","00:42:06","164","177","3.7","147","155","6:14","4:43","--","--","1.10","8.7","9.5","320","--","357","0.0","351","504","6,146","-11","--","No","00:00:05.9","13","--","00:42:02","00:42:06","--","--"
Treadmill Running,2025-04-06 16:13:31,false,"Treadmill Running","4.00","303","00:26:41","143","155","2.3","140","150","6:40","6:20","--","--","1.07","8.4","9.0","349","--","322","0.0","318","348","3,718","-6","--","No","00:06:32.0","4","--","00:26:22","00:26:41","--","--"
